PLAYER,TEAM,FGM,3PM,FTM,REB,AST,TO,STL,BLK
Courtney Lee,New York Knicks,213,71,73,144,118,56,56,7
Cristiano Felicio,Chicago Bulls,39,0,17,68,16,16,4,5
D'Angelo Russell,Brooklyn Nets,95,18,43,56,68,48,12,2
D.J. Augustin,Orlando Magic,88,43,71,56,111,50,28,0
D.J. Wilson,Milwaukee Bucks,4,0,0,6,2,4,0,0
Dakari Johnson,Oklahoma City Thunder,19,0,8,23,8,3,5,6
Damian Jones,Golden State Warriors,0,0,0,1,0,0,0,0
Damian Lillard,Portland Trail Blazers,283,98,209,167,225,111,39,15
Damien Wilkins,Indiana Pacers,13,4,3,16,9,5,2,1
Damyean Dotson,New York Knicks,23,6,2,27,9,4,3,1
Daniel Hamilton,Oklahoma City Thunder,3,1,0,1,4,0,1,0
Daniel Theis,Boston Celtics,76,8,40,179,23,42,20,30
Danilo Gallinari,Los Angeles Clippers,48,16,35,48,28,16,9,2
Danny Green,San Antonio Spurs,105,55,11,116,57,44,33,35
Dante Cunningham,Brooklyn Nets,79,30,18,151,22,11,22,13
Danuel House Jr.,Phoenix Suns,15,5,14,22,6,5,4,0
Dario Saric,Philadelphia 76ers,189,69,70,261,100,71,26,12
Darius Miller,New Orleans Pelicans,103,75,34,65,51,20,12,6
Darrell Arthur,Denver Nuggets,3,1,0,6,1,7,2,0
Darren Collison,Indiana Pacers,189,53,85,114,222,55,50,8
Darrun Hilliard,San Antonio Spurs,1,0,1,4,4,3,2,0
David Nwaba,Chicago Bulls,86,4,59,139,39,27,25,15
David West,Golden State Warriors,127,3,28,141,73,39,27,46
Davis Bertans,San Antonio Spurs,72,45,19,73,25,19,8,14
De'Aaron Fox,Sacramento Kings,136,16,54,92,138,81,34,8
DeAndre Jordan,Los Angeles Clippers,199,0,84,609,51,67,19,41
DeAndre Liggins,New Orleans Pelicans,24,11,2,50,28,13,27,10
DeAndre' Bembry,Atlanta Hawks,33,7,14,41,26,36,13,8
DeMar DeRozan,Toronto Raptors,348,48,255,169,203,90,47,12
DeMarcus Cousins,New Orleans Pelicans,358,93,249,514,209,203,58,64
DeMarre Carroll,Brooklyn Nets,153,63,91,245,67,53,32,15
Dejounte Murray,San Antonio Spurs,110,3,48,198,108,66,33,14
Delon Wright,Toronto Raptors,90,20,48,84,71,39,32,18
Demetrius Jackson,Philadelphia 76ers,4,0,0,11,5,9,4,1
Dennis Schroder,Atlanta Hawks,307,43,127,116,257,102,45,3
Dennis Smith Jr.,Dallas Mavericks,190,53,57,140,158,92,31,10
Denzel Valentine,Chicago Bulls,159,80,15,226,125,47,33,5
Derrick Favors,Utah Jazz,197,5,82,267,59,51,26,38
Derrick Jones Jr.,Miami Heat,11,1,9,14,5,2,2,7
Derrick Rose,Minnesota Timberwolves,39,3,19,18,12,19,2,1
Derrick Walton Jr.,Miami Heat,6,5,4,8,13,2,4,3
Derrick White,San Antonio Spurs,5,1,6,14,5,4,3,2
Devin Booker,Phoenix Suns,275,88,185,146,146,120,31,8
Devin Harris,Denver Nuggets,99,35,78,72,73,38,31,7
Dewayne Dedmon,Atlanta Hawks,103,15,26,176,30,36,9,20
Deyonta Davis,Memphis Grizzlies,50,0,15,85,13,13,6,17
Dillon Brooks,Memphis Grizzlies,121,36,34,112,46,43,29,13
